firstName,lastName,email,phone,address,city,state,zipCode
John,Smith,john.smith@email.com,555-0101,123 Main St,Orlando,FL,32801
Sarah,Johnson,sarah.j@email.com,555-0102,456 Oak Ave,Tampa,FL,33601
Michael,Brown,m.brown@email.com,555-0103,789 Pine Rd,Jacksonville,FL,32202
Lisa,Davis,lisa.davis@email.com,555-0104,321 Elm St,Miami,FL,33101
Robert,Wilson,r.wilson@email.com,555-0105,654 Maple Dr,Fort Lauderdale,FL,33301
Jennifer,Garcia,j.garcia@email.com,555-0106,987 Cedar Ln,Tallahassee,FL,32301
David,Martinez,d.martinez@email.com,555-0107,147 Birch Way,Gainesville,FL,32601
Amanda,Rodriguez,a.rodriguez@email.com,555-0108,258 Spruce St,Pensacola,FL,32501
Christopher,Lopez,c.lopez@email.com,555-0109,369 Willow Ave,Clearwater,FL,33755
Michelle,Gonzalez,m.gonzalez@email.com,555-0110,741 Poplar Rd,Sarasota,FL,34201
